Title,xero,osar,marta,stawska ,karolina,ania5,kacper,sasiadka6,2kej,wiku,rafal,alicja
willy wonderland,8,8,"8,5",10,8,8,7,,,,,
tigers are not afraid,1,1,2,2,1,1,1,,,,,
satanic panic,7,3,3,5,2,5,5,,,,,
,,,,,,,,,,,,
little monsters,3,5,4,,,7,3,5,,,,
underwater,9,"8,5",8,,,"9,5",9,7,,,,
slaxx,4,10,9,,,8,7,6,,,,
,,,,,,,,,,,,
mon mon monsters,7,"6,5",,8,,,,4,,,,
mortuary collection,10,7,,"6,5",8,,,8,,,,
psycho goreman,8,10,,"9,5","7,5",,,6,,,,
,,,,,,,,,,,,
host,2,5,3,4,1,,2,,7,,,
mandy ,4,1,2,1,1,,1,,4,,,
annihilation,4,3,4,5,,,3,,,,,
,,,,,,,,,,,,
w lesie dzis nie zasnie nikt,3,3,3,4,3,2,"2,5",3,,,,
the wretched,7,8,6,2,"6,5",5,6,"7,5",,,,
zabawa w pochowanego,9,8,9,10,,"8,5",9,"8,5",,,,
,,,,,,,,,,,,
noc oczyszczenia zegnaj ameryko,7,6,"5,5",,,,,"5,5",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
peninsula,6,3,"5,5",8,7,,4,5,,"7,5",,
no escape room,5,"7,5",7,3,5,,"6,5","6,5",,"6,5",,
brightburn,3,3,"2,5",1,,,2,3,,"3,5",,
,,,,,,,,,,,,
,,,,,,,,,,,,
w lesie dzis nie zasnie nikt 2,9,3,,,,,1,2,,,,
halloween kills,6,1,3,5,,,2,4,,,,
malignant,7,"6,5",7,"6,5",,,7,6,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
resident evil remake,6,5,,,,4,5,"6,5",4,,,
krampus,8,3,5,,,7,5,5,7,,,
blackbox,6,4,,,,8,4,8,,,,
,,,,,,,,,,,,
cube,9,7,7,8,,7,6,7,9,,,
cube 2,5,1,2,"1,5",,,3,5,,,,
cube 3,6,1,6,3,,,7,5,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
haunt,4,8,7,,"6,5",,8,,7,,,
antlers,8,"5,5",5,,3,7,4,,4,,"3,5",
terrified,9,10,9,,,,9,,8,,7,
,,,,,,,,,,,,
,,,,,,,,,,,,
the lamb,4,1,3,3,,,"1,5",3,10,6,2,
escape room aka followe me,4,10,7,6,,,"5,5",4,6,5,"6,5",5
gonijam haunted asylum,3,6,4,2,,,3,2,1,3,4,"4,5"
get out,9,6,6,10,,,"6,5",8,10,,"7,5","8,5"
,,,,,,,,,,,,
,,,,,,,,,,,,
grudge,8,7,6,5,,,6,,,7,,
us,7,8,7,7,,,4,4,,8,,
mom and dad,9,,2,4,,,3,3,,8,,
,,,,,,,,,,,,
sea fever,7,3,,3,2,,4,5,,6,"1,5",
47 meters,4,"4,5",,4,4,,3,4,,"8,5",4,
obecnosc 3 ,6,8,,7,,,7,"6,5",,10,"6,5",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
scary stories to tell in the dark,6,,"4,5",,,,"7,5",,,8,,5
pet sementary,9,,"6,5",,,,6,,8,"9,5",,6
happy death day,10,,,,,,8,,,,,
happy death day 2u,9,,,,,,4,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
birdemic 2,1,2,1,,,,1,1,,1,6,
babadook,10,6,7,,,,6,5,,9,"7,5",
grotesque,1,"7,5",,,,,2,"3,5",,"7,5","6,5",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
The Whole Truth,9,8,"7,5",,,,7,8,,8,"5,5",5
Killer Sofa,5,10,9,,,,5,5,,10,"6,5",7
Riaru Onigokko (TAG),9,"6,5",6,,,,5,6,,6,"7,5",5
,,,,,,,,,,,,
,,,,,,,,,,,,
boy behind the door,4,"6,5",5,,,,5,,,,,"6,5"
cleansing hour,9,9,7,5,,,"6,5",,,,,7
terrified (rewatch),10,10,7,4,,,"7,5",,,,,6
,,,,,,,,,,,,
,,,,,,,,,,,,
pay the ghost,1,,3,,2,,6,5,3,,2,
prisoners of the ghost land,"6,5",1,3,9,1,,2,"3,5",6,3,4,
wickerman,8,2,2,5,,,4,"6,5",6,,3,
,,,,,,,,,,,,
robert 1,2,3,3,,3,,4,"3,5",1,,,
robert 5,3,3,1,,3,,3,2,2,,,
choose or die,5,9,"6,5","5,5",7,,7,"7,5",7,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
zombie striptizerki,6,,,6,,2,3,7,3,,"1,5",8
im a hero,8,3,5,6,,7,,6,7,,5,6
dead sushi,10,"9,5",9,10,,10,7,"4,5",,,3,
,,,,,,,,,,,,
,,,,,,,,,,,,
shaun of the dead,7,6,5,"8,5",,,7,10,9,,,"8,00"
cube (japanese),2,4,"4,5","4,5",,,6,5,"4,5",,,4
scanners,3,,,"1,5",,,3,4,6,,,3
,,,,,,,,,,,,
,,,,,,,,,,,,
Rytuał ,8,4,6,8,,,4,"7,5",,,7,
Blair witch (2016),5,8,,7,,,4,3,,,8,
vvitch,9,7,,4,,,4,"5,5",,,9,
,,,,,,,,,,,,
Poltergeist,3,5,4,,,5,"7,5",,,,"4,5",
Scare me,10,10,9,,,5,7,,,,"9,5",
Caveat,9,6,,,,,"5,5",,,,6,
