,sredni hejt,xero,osar,marta,stawska ,karolina,ania5,kacper,robercik,sasiadka6,zubr abuser,2kej,Martyna,Katarzyna Kulczyk z tych kulczykow,Michelle,Anko,robercik lepszy,wiktoria marty,wiku,lokator,milosz,ada,ania wodorost,sabina,junior,kinia,druga kinga (ola_,nashi,kuba od nashi,rafal,alicja,marika,damian go,wiktoria rapa,martyna yoga,cheetos,kinga,konrad,iwona,Agata,Bartek Crocinole,ile osob,średnia filmów
srednia hejtowania:,"4,78","6,19","5,55","5,22","5,38","4,08","6,24","4,81","4,82","5,15","3,00","5,71","6,00","5,33","5,17","5,67","4,00","4,00","6,71","2,83","3,75","3,50","6,75","3,00","3,75","4,63","3,50","3,00","3,00","4,79","6,12","5,33","5,67","4,80","5,67","5,33","5,00","3,88","4,33",,,"8,095238095","5,42"
willy wonderland,"8,21",8,8,"8,5",10,8,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
tigers are not afraid,"1,29",1,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
satanic panic,"4,29",7,3,3,5,2,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
little monsters,"4,50",3,5,4,,,7,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
underwater,"8,50",9,"8,5",8,,,"9,5",9,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
slaxx,"7,33",4,10,9,,,8,7,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mon mon monsters,"6,38",7,"6,5",,8,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
mortuary collection,"7,90",10,7,,"6,5",8,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
psycho goreman,"8,20",8,10,,"9,5","7,5",,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
host,"3,25",2,5,3,4,1,,2,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
mandy ,"1,88",4,1,2,1,1,,1,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,
annihilation,"3,80",4,3,4,5,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w lesie dzis nie zasnie nikt,"2,75",3,3,3,4,3,2,"2,5",3,3,,,4,,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,14,
the wretched,"5,96",7,8,6,2,"6,5",5,6,6,"7,5",,,6,,"5,5",5,6,7,,,,,,,,,,,,,,,,,,,,,,,,14,
zabawa w pochowanego,"8,54",9,8,9,10,,"8,5",9,"8,5","8,5",,,8,7,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
noc oczyszczenia zegnaj ameryko,"6,00",7,6,"5,5",,,,,,"5,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
peninsula,"5,44",6,3,"5,5",8,7,,4,,5,3,,,,,,,,"7,5",,,,,,,,,,,,,,,,,,,,,,,9,
no escape room,"5,89",5,"7,5",7,3,5,,"6,5",,"6,5",6,,,,,,,,"6,5",,,,,,,,,,,,,,,,,,,,,,,9,
brightburn,"2,57",3,3,"2,5",1,,,2,,3,,,,,,,,,"3,5",,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w lesie dzis nie zasnie nikt 2,"4,55",9,3,,,,,1,,2,,,,,,,,,,,5,5,"5,5",5,6,,4,,,,,,,,,,,,,,,10,
